0	0	f	1511881	2	21
0	0	m	161315	6	6
0	-1	f	438	2	11
0	-1	m	84383	9	12
0	-1	m	3702	3	4
0	-1	f	4419	2	6
0	3	m	105793	3	3
0	-1	m	4152	2	2
0	0	m	75071	2	5
0	0	f	1287563	2	16
0	-1	f	3885	6	14
0	-1	m	486	3	2
0	-1	m	50	2	2
0	-1	f	903	2	3
0	-1	m	544833	5	6
0	0	m	537408	2	4
0	-1	f	1823	4	2
0	-1	f	1945	2	6
0	-1	f	426143	2	4
0	-1	m	224	2	2
0	-1	f	305	2	2
0	2	m	50103	3	5
0	0	m	113851	3	8
0	-1	m	49	2	19
0	-1	m	6552	3	3
0	-1	f	627	2	2
0	-1	m	35	2	3
0	0	m	5311	2	1
0	-1	f	1974	2	7
0	0	m	1461454	4	51
0	3	f	1554	2	5
0	-1	m	79	2	2
0	-1	f	1723	2	13
0	-1	m	0	2	3
0	-1	m	44565	2	4
0	1	m	154909	4	4
0	-1	m	105975	3	17
0	0	f	750168	4	5
0	0	m	207464	6	19
0	-1	f	1745	2	2
0	-1	f	479	2	4
0	3	f	1154631	14	118
0	-1	f	119	2	2
0	-1	f	7302	2	2
0	-1	m	54	2	2
0	-1	f	5270	8	19
0	-1	m	267	2	1
0	0	m	6398	5	47
0	-1	m	2389	7	8
0	0	m	172771	2	4
0	-1	f	5428	2	2
0	-1	m	677	4	2
0	-1	f	1613	2	2
0	-1	f	1782	2	2
0	-1	f	47	2	2
0	1	m	183303	12	4
0	0	m	646700	5	7
0	-1	m	860	3	3
0	-1	f	10986	3	4
0	-1	f	14682	2	2
0	-1	m	142	2	2
0	-1	f	7545	2	5
0	3	m	68760	3	2
0	1	m	3720	4	3
0	-1	f	369	2	3
0	0	m	1152	2	8
0	-1	m	9880	19	33
0	-1	m	2106	2	2
0	-1	f	1134	2	4
0	-1	f	7068	2	2
0	-1	m	1044	2	2
0	0	m	1786494	3	16
0	-1	f	1372	3	17
0	2	m	21760	2	5
0	-1	f	41810	6	6
0	-1	f	703	3	101
0	1	m	1135	3	2
0	0	m	16285	3	4
0	-1	m	7129	7	10
0	-1	m	257	2	18
0	-1	m	133	2	2
0	-1	m	19100	2	3
0	0	f	232782	6	28
0	-1	m	342	5	53
0	0	m	169422	2	93
0	-1	m	5839	3	2
0	0	f	227772	2	2
0	-1	m	242	2	3
0	3	m	340222	2	2
0	-1	m	123	2	2
0	2	f	25524	5	11
0	0	m	11222	4	8
0	0	m	733	2	37
0	-1	m	37850	8	13
0	-1	m	17240	3	7
0	0	f	117212	2	2
0	-1	m	4851	4	5
0	0	m	2873029	2	9
0	0	m	158396	20	41
0	-1	f	2820	2	3
0	-1	m	7183	2	3
0	-1	f	7396	2	3
0	-1	f	530	4	7
0	1	f	2786628	4	5
0	0	m	1988	4	4
0	1	m	6137	4	3
0	-1	m	112	2	2
0	-1	f	207	2	1
0	0	m	39456	15	15
0	0	m	18920	3	3
0	-1	f	250	2	1
0	0	m	91936	4	4
0	-1	m	192	2	7
0	0	m	215508	2	8
0	1	m	1448092	101	201
0	0	f	1714200	31	794
0	0	f	2042408	20	125
0	-1	m	5	2	2
0	0	m	3902182	18	96
0	-1	m	1163	3	1
0	-1	f	186	2	11
0	-1	m	28718	12	22
0	-1	m	102	2	2
0	2	f	58623	3	1
0	-1	f	411	2	2
0	-1	m	216	3	4
0	-1	m	2246	2	3
0	-1	f	139	2	2
0	-1	m	364	2	2
0	3	f	587431	7	7
0	-1	m	3001	2	1
0	3	m	217771	3	3
0	-1	m	279640	2	2
0	-1	f	89400	12	445
