Uid,Indegree ranklg,Group
2372255055,0.0,Specialist
1638781994,0.30102999566398114,Specialist
2993049293,0.47712125471966244,Generalist
1883881851,0.6020599913279623,Specialist
1341902602,0.6989700043360187,Specialist
1736329970,0.7781512503836435,Specialist
2018499075,0.8450980400142567,Specialist
1642292081,0.9030899869919434,Specialist
1698513182,0.9542425094393249,Specialist
2142168143,1.0,Generalist
3098510521,1.041392685158225,Specialist
1990309453,1.0791812460476247,Specialist
6027167937,1.1139433523068367,Specialist
1173446387,1.1461280356782377,Specialist
2747143811,1.1760912590556811,Specialist
2432009827,1.2041199826559246,Specialist
2156294570,1.2304489213782739,Generalist
3515112791,1.2552725051033058,Specialist
5568490146,1.2787536009528289,Generalist
1747790171,1.301029995663981,Generalist
2482557597,1.322219294733919,Generalist
5635855696,1.3424226808222062,Specialist
1990895721,1.3617278360175928,Specialist
1760341084,1.380211241711606,Specialist
5215495831,1.3979400086720375,Specialist
2193518494,1.414973347970818,Specialist
1537790411,1.4313637641589871,Generalist
1737961042,1.447158031342219,Specialist
3204839810,1.462397997898956,Specialist
1778912865,1.4771212547196624,Specialist
3690518992,1.4913616938342726,Specialist
2418842335,1.5051499783199058,Specialist
1712318565,1.5185139398778873,Specialist
1742566624,1.5314789170422551,Generalist
3069348215,1.5440680443502754,Generalist
2803301701,1.556302500767287,Generalist
2412421034,1.5682017240669948,Specialist
2243735721,1.57978359661681,Specialist
5057725360,1.591064607026499,Specialist
1990303727,1.6020599913279623,Specialist
1189615035,1.6127838567197355,Specialist
2302617634,1.6232492903979003,Specialist
2971183691,1.6334684555795864,Specialist
1253139560,1.6434526764861872,Specialist
1668293725,1.6532125137753435,Specialist
2075686772,1.6627578316815739,Specialist
1495452561,1.6720978579357173,Specialist
1901333207,1.6812412373755872,Specialist
5617171689,1.6901960800285134,Specialist
2218894100,1.6989700043360185,Specialist
1706675184,1.7075701760979363,Specialist
1990921871,1.716003343634799,Specialist
5111339189,1.724275869600789,Specialist
2485122903,1.7323937598229684,Specialist
1234849602,1.7403626894942439,Specialist
1046561220,1.7481880270062005,Specialist
1826082103,1.7558748556724912,Specialist
2841877911,1.7634279935629371,Specialist
5235726837,1.7708520116421442,Specialist
5720474518,1.7781512503836434,Specialist
1725010007,1.785329835010767,Specialist
1712570933,1.7923916894982537,Generalist
1662214194,1.7993405494535815,Generalist
5532648623,1.8061799739838869,Generalist
3800478724,1.8129133566428552,Specialist
5058390436,1.8195439355418683,Specialist
2751313073,1.8260748027008262,Generalist
2656274875,1.8325089127062362,Generalist
1665964555,1.8388490907372552,Specialist
5139152205,1.845098040014257,Specialist
2060903445,1.851258348719075,Specialist
1891845373,1.8573324964312683,Generalist
2809841193,1.8633228601204557,Specialist
5625254784,1.8692317197309762,Specialist
1002861732,1.8750612633916997,Specialist
1624923463,1.8808135922807911,Specialist
5341306507,1.8864907251724818,Specialist
5746403289,1.8920946026904801,Specialist
5260938047,1.8976270912904412,Specialist
1797679051,1.9030899869919433,Specialist
2466386627,1.9084850188786497,Specialist
1743578995,1.9138138523837167,Specialist
6019918741,1.919078092376074,Generalist
2758719013,1.9242792860618814,Specialist
1664207987,1.9294189257142926,Specialist
3881723316,1.9344984512435675,Specialist
3855731810,1.9395192526186182,Specialist
1195354434,1.9444826721501687,Generalist
1718966023,1.9493900066449126,Specialist
1744957737,1.9542425094393248,Specialist
1663312090,1.9590413923210932,Specialist
1695958733,1.9637878273455551,Generalist
5044281310,1.968482948553935,Generalist
3800480136,1.9731278535996983,Specialist
1899810091,1.9777236052888476,Specialist
1894798092,1.9822712330395682,Specialist
6013864545,1.9867717342662448,Specialist
1241148864,1.9912260756924949,Generalist
5190095289,1.9956351945975497,Specialist
2357832895,2.0,Specialist
1211107793,2.0043213737826426,Specialist
3171897472,2.008600171761917,Specialist
1457530250,2.012837224705172,Specialist
5055789088,2.0170333392987803,Specialist
5631861909,2.021189299069938,Specialist
3920631851,2.02530586526477,Specialist
5058390938,2.0293837776852093,Specialist
1842136381,2.0334237554869494,Specialist
2710878191,2.0374264979406234,Specialist
1974576991,2.041392685158225,Generalist
1819318401,2.045322978786657,Specialist
2755394563,2.049218022670181,Specialist
6008285888,2.0530784434834195,Specialist
2796335744,2.0569048513364723,Specialist
2687299131,2.0606978403536114,Generalist
5980267921,2.064457989226918,Specialist
2205169727,2.0681858617461617,Specialist
5508233899,2.0718820073061255,Specialist
1235481371,2.0755469613925306,Specialist
1990275137,2.0791812460476247,Specialist
2174534013,2.08278537031645,Specialist
2549228714,2.086359830674748,Generalist
2361776867,2.0899051114393976,Specialist
5031234543,2.093421685162235,Specialist
2397997330,2.0969100130080562,Specialist
1286659964,2.1003705451175625,Generalist
5709076056,2.103803720955957,Specialist
1281488180,2.107209969647868,Specialist
1714397395,2.110589710299249,Specialist
1747843401,2.1139433523068365,Specialist
5408596403,2.117271295655764,Specialist
3173515672,2.1205739312058496,Specialist
5437851984,2.123851640967086,Specialist
2610020434,2.1271047983648073,Specialist
5500545510,2.130333768495006,Specialist
2083326977,2.1335389083702174,Specialist
1092538373,2.1367205671564067,Specialist
2609400635,2.1398790864012365,Generalist
1716376363,2.143014800254095,Specialist
5250260756,2.1461280356782377,Specialist
1730866981,2.1492191126553797,Specialist
2286908003,2.1522883443830563,Generalist
1937376377,2.1553360374650614,Generalist
1005479794,2.1583624920952493,Specialist
1850988623,2.1613680022349744,Generalist
1747494955,2.1643528557844367,Specialist
1935198185,2.1673173347481756,Generalist
1650107735,2.170261715394957,Specialist
1300957955,2.173186268412274,Generalist
2430259303,2.176091259055681,Generalist
5041890608,2.1789769472931693,Specialist
1911906957,2.181843587944772,Specialist
2211979435,2.1846914308175984,Specialist
1642088277,2.187520720836463,Generalist
2450512472,2.1903316981702914,Specialist
1861054113,2.1931245983544616,Specialist
5870071346,2.1958996524092336,Specialist
2494935602,2.1986570869544226,Specialist
2871868031,2.2013971243204513,Specialist
2481951041,2.2041199826559246,Specialist
5582182700,2.2068258760318495,Specialist
5498972025,2.2095150145426303,Specialist
2832469547,2.2121876044039577,Specialist
1763582395,2.214843848047698,Specialist
3146661474,2.217483944213906,Specialist
2637034310,2.220108088040055,Specialist
5143716103,2.2227164711475833,Specialist
6033930155,2.2253092817258624,Generalist
2231869757,2.2278867046136734,Specialist
1784404677,2.2304489213782737,Specialist
1830442653,2.2329961103921536,Generalist
1158180841,2.2355284469075487,Specialist
1892463935,2.2380461031287955,Specialist
5239863155,2.2405492482825995,Generalist
1444225292,2.2430380486862944,Specialist
2166792032,2.2455126678141495,Generalist
5042958097,2.2479732663618064,Specialist
5460991756,2.2504200023088936,Generalist
3043951887,2.252853030979893,Specialist
2989789141,2.255272505103306,Specialist
2000518915,2.2576785748691846,Specialist
1947083247,2.2600713879850747,Specialist
1990954515,2.2624510897304293,Specialist
5067607858,2.2648178230095364,Generalist
3566646574,2.2671717284030133,Specialist
3802896629,2.2695129442179165,Specialist
2730881795,2.271841606536499,Specialist
2217066377,2.2741578492636796,Specialist
2033139325,2.276461804173244,Specialist
2312330153,2.278753600952829,Specialist
1713926427,2.281033367247727,Generalist
1750822455,2.2833012287035492,Specialist
1706463014,2.2855573090077734,Specialist
3329910664,2.287801729930226,Specialist
5087015251,2.290034611362518,Specialist
1990905835,2.2922560713564755,Specialist
2085833721,2.294466226161593,Specialist
1195908387,2.296665190261531,Generalist
5466272016,2.2988530764097064,Specialist
3296530723,2.301029995663981,Specialist
